Fecha,Día,Actividad,País,Ciudad,Bandera
25-12-25,Jueves,Viaje de ida,Argentina,Buenos Aires,https://flagcdn.com/w320/ar.png
26-12-25,Viernes,Llegada a Madrid,España,Madrid,https://flagcdn.com/w320/es.png
27-12-25,Sábado,Recorrido por Madrid / compras,España,Madrid,https://flagcdn.com/w320/es.png
28-12-25,Domingo,Viaje a Londres,España,Madrid,https://flagcdn.com/w320/es.png
29-12-25,Lunes,"Llegada a Londres, recorrido por la ciudad",Inglaterra,Londres,https://flagcdn.com/w320/gb.png
30-12-25,Martes,Harry Potter,Inglaterra,Londres,https://flagcdn.com/w320/gb.png
31-12-25,Miércoles,A confirmar,Inglaterra,Londres,https://flagcdn.com/w320/gb.png
01-01-26,Jueves,A confirmar,Inglaterra,Londres,https://flagcdn.com/w320/gb.png
02-01-26,Viernes,A confirmar,Inglaterra,Londres,https://flagcdn.com/w320/gb.png
03-01-26,Sábado,A confirmar,Holanda,Amsterdam,https://flagcdn.com/h120/nl.png
04-01-26,Domingo,A confirmar,Holanda,Amsterdam,https://flagcdn.com/h120/nl.png
05-01-26,Lunes,A confirmar,Holanda,Amsterdam,https://flagcdn.com/h120/nl.png
06-01-26,Martes,Viaje a Berlin,Holanda,Amsterdam,https://flagcdn.com/h120/nl.png
07-01-26,Miércoles,A confirmar,Alemania,Berlin,https://flagcdn.com/w320/de.png
08-01-26,Jueves,A confirmar,Alemania,Berlin,https://flagcdn.com/w320/de.png
09-01-26,Viernes,A confirmar,Alemania,Berlin,https://flagcdn.com/w320/de.png
10-01-26,Sábado,Viaje a Praga,Republica checa,Praga,https://flagcdn.com/h120/cz.png
11-01-26,Domingo,A confirmar,Republica checa,Praga,https://flagcdn.com/h120/cz.png
12-01-26,Lunes,A confirmar,Republica checa,Praga,https://flagcdn.com/h120/cz.png
13-01-26,Martes,Viaje a budapest,Republica checa,Praga,https://flagcdn.com/h120/cz.png
14-01-26,Miércoles,A confirmar,Hungria,Budapest,https://flagcdn.com/h120/hu.png
15-01-26,Jueves,A confirmar,Hungria,Budapest,https://flagcdn.com/h120/hu.png
16-01-26,Viernes,Viaje a Madrid,Hungria,Budapest,https://flagcdn.com/h120/hu.png
17-01-26,Sábado,Vuelta a casa :(,España,Madrid,https://flagcdn.com/w320/es.png
