DestinoId,DestinoNombre,DestinoBandera,Desde,Hasta,Cantidad de noches,Dias completos,Comentario,TipoEvento,Detalle,Código,Precio original,Precio USD,Estado,Fecha,Dirección,Link1,Link2,Comentarios
1,Buenos Aires,https://flagcdn.com/w320/ar.png,25-Dec-25,26-Dec-25,1,0,,Vuelo,Vuelvo BsAs-Madrid,Vuelo: UX42 | Reserva: UX/KNJ23L,,1228 USD c/u,Pagado,25-Dec-25,Aeropuerto Ezeiza,Pasajes: https://drive.google.com/drive/folders/12qcTaDX66DUo6chnuzylPLp3Kcz5fYBr?usp=sharing,Boarding pass: ,Salida: 13.15hs - Llegada: 5.10hs
2,Madrid (Ida),https://flagcdn.com/w320/es.png,26-Dec-25,28-Dec-25,2,1,,Alojamiento,Rincón Acogedor en Malasaña,Código de confirmación: HMDYMTASEP,,317 USD (79 USD c/u),Pago parcial,,"Calle de Colón, 12 2B, Madrid, Comunidad de Madrid 28004, España",Ubicación google maps: https://maps.app.goo.gl/ZQwRjJwDu8oTvLau6,Reserva AirBnB: https://drive.google.com/file/d/1rz95i62zVYHa2Rly8h8CtQ3ey8E0DZAM/view?usp=sharing,"Cancelación gratuita antes de las 3:00 p. m. del 25 dic. /// Check-in vie, 26 dic 3:00 p. m. /// Quedan pagar 63 USD c/u"
2,Madrid (Ida),https://flagcdn.com/w320/es.png,26-Dec-25,28-Dec-25,2,1,,Vuelo,Vuelo Madrid-Londres,Vuelo: IB0711 | Reserva: M70S2,€ 107 c/u,126 USD,Pagado,28-Dec-25,Aeropuerto MAD (a LHR),Pasajes: https://drive.google.com/drive/folders/1k4Ex70dy-FOpJa-LAnbH89HldtnEVic3?usp=sharing,Boarding pass: ,Pagarle a Ivo en Octubre. Salida: 6.45hs - Llegada: 8:25hs
3,Londres,https://flagcdn.com/w320/gb.png,28-Dec-25,02-Jan-26,5,4,,Alojamiento,Lovely 2 Bedrooms apartment,Confirmación: 4845603308 /// PIN: 6677,£ 630 (£ 158 c/u),857 USD (215 USD c/u),Pago parcial,,"464A Edgware Road Second Floor, Flat 2, Westminster, Londres, W2 1EJ, Reino Unido",Ubicación google maps: https://maps.app.goo.gl/Z4WFbUrYWqr4MFkX9,Reserva Booking: https://drive.google.com/file/d/1Szt2bMr_Q36lw9u8zo3p6ABOBJw5C-zR/view?usp=sharing,Se pagó la mitad /// Quedan pagar 107 USD C/U en diciembre 2025.
3,Londres,https://flagcdn.com/w320/gb.png,28-Dec-25,02-Jan-26,5,4,,Actividad,Palacio de Buckingham,N/A,,,,,,,,
3,Londres,https://flagcdn.com/w320/gb.png,28-Dec-25,02-Jan-26,5,4,,Actividad,Arsenal - Aston Villa,,,,,,,,,
3,Londres,https://flagcdn.com/w320/gb.png,28-Dec-25,02-Jan-26,5,4,,Vuelo,Vuelo Londres-Amsterdam,Vuelo: BA0432 | Reserva: 9D78KZ,,90 USD c/u,No pagado,02-Jan-26,Aeropuerto LHR (a AMS),Pasajes: https://drive.google.com/file/d/16oR-UBZKBlO_G4yOEBkSg6knhyB2CnbT/view?usp=sharing,Boarding pass: ,Pagarle a Lucho en Noviembre. Salida: 7.40hs - Llegada: 10:10hs
4,Amsterdam,https://flagcdn.com/w320/nl.png,02-Jan-26,06-Jan-26,4,3,,Alojamiento,ClinkNOORD,Confirmación: CNRD001094373,€ 503 (€ 125 c/u),592 USD (148 USD c/u),No pagado,,"Badhuiskade 3, Amsterdam Havens, Amsterdam, 1031 KV, Países Bajos",Ubicación google maps: https://maps.app.goo.gl/ZXFnebQtBFvL1vh8A,Reserva: https://drive.google.com/file/d/1kNwevgus0lHuBzZwzT8OY3w7jZfdTsPD/view?usp=sharing,Pagarlo a Ivo (no sabemos cuándo).
5,Berlin,https://flagcdn.com/w320/de.png,06-Jan-26,10-Jan-26,4,3,,Alojamiento,Schoenhouse Avenue,Confirmación: 5953678142 /// PIN: 2092,€ 470 (€ 117 c/u),553 USD (138 USD c/u),No pagado,,"Schönhauser Allee 185, Pankow, 10119 Berlín, Alemania",Ubicación google maps: https://maps.app.goo.gl/ef5BaAkJ59KgWM3Z9,Reserva Booking: https://drive.google.com/file/d/1ubox4BbcZ87P0lo-kE1yv9kyo36HIs4J/view?usp=sharing,Todavía no le vino el cobro a Ivo.
6,Praga,https://flagcdn.com/h120/cz.png,10-Jan-26,13-Jan-26,3,2,,Alojamiento,6 Continents Apartments by Adrez,Confirmación: 6524985287 ///PIN: 6267,€ 260 (€ 65 c/u),306 USD (77 USD c/u),Pagado,,"Husova 12, Praga, 11000, República Checa",Ubicación google maps: https://maps.app.goo.gl/y5zzAAr69QXq6eRU6,Reserva Booking: https://drive.google.com/file/d/1FtHaIAsP2mAQq5bKxDVX86sBF0WBRXVS/view?usp=sharing,Pagado a Ivo en Septiembre.
